# Hudaverdi, Kulatilake and Kuzu (2010), Int. J. Numer. Anal. Meth. Geomech. 35:1318-1333,
# doi:10.1002/nag.957, Tables I and II. 97 open-pit and underground bench blasts from ten sites.
# Columns are the seven dimensionless model inputs plus the measured mean fragment size.
# S_over_B spacing/burden - H_over_B bench height/burden - B_over_D burden/hole diameter
# T_over_B stemming/burden - Pf_kg_m3 powder factor - XB_m in situ block size - E_GPa Young modulus
# x50_m measured mean particle size, metres. group 1 = high modulus (35), group 2 = low modulus (62).
# Numeric values are experimental facts reused with citation; the source PDF is not redistributed.
# CORRECTED 2026-09-09 against the published tables, five transcription defects:
#   Db5 Pf 0.33 -> 0.39 - Sm4 x50 0.24 -> 0.22 - Ad15 x50 0.22 -> 0.15
#   Ad17 Pf 1.07 -> 1.24 - Ad19 Pf 1.47 -> 1.26 (the row's own XB had been copied into Pf)
# The tell was the source paper's own descriptive statistics, which give a Pf maximum of 1.26.
blast_id,site,group,S_over_B,H_over_B,B_over_D,T_over_B,Pf_kg_m3,XB_m,E_GPa,x50_m
En1,Enusa,1,1.24,1.33,27.27,0.78,0.48,0.58,60.00,0.37
En2,Enusa,1,1.24,1.33,27.27,0.78,0.48,0.58,60.00,0.37
En3,Enusa,1,1.24,1.33,27.27,0.78,0.48,1.08,60.00,0.33
En4,Enusa,1,1.24,1.33,27.27,0.78,0.48,1.11,60.00,0.42
En5,Enusa,1,1.24,1.33,27.27,0.78,0.48,1.08,60.00,0.46
En6,Enusa,1,1.24,1.33,27.27,1.17,0.27,1.08,60.00,0.37
En7,Enusa,1,1.24,1.33,27.27,1.06,0.33,1.08,60.00,0.64
En8,Enusa,1,1.24,1.33,27.27,0.91,0.41,1.11,60.00,0.42
En9,Enusa,1,1.24,1.33,27.27,0.91,0.41,1.11,60.00,0.26
En10,Enusa,1,1.24,1.33,27.27,0.99,0.36,1.08,60.00,0.42
En11,Enusa,1,1.24,1.33,27.27,1.06,0.33,1.11,60.00,0.31
En12,Enusa,1,1.24,1.33,27.27,1.06,0.33,1.11,60.00,0.38
Rc1,Reocin,1,1.17,1.50,26.20,1.08,0.33,0.68,45.00,0.46
Rc2,Reocin,1,1.17,1.50,26.20,1.12,0.30,0.68,45.00,0.48
Rc3,Reocin,1,1.17,1.58,26.20,1.22,0.28,0.68,45.00,0.48
Rc4,Reocin,1,1.17,1.96,26.20,1.30,0.34,1.56,45.00,0.75
Rc5,Reocin,1,1.17,1.75,26.20,1.31,0.29,1.56,45.00,0.96
Rc6,Reocin,1,1.17,1.75,26.20,1.16,0.36,1.56,45.00,0.76
Rc7,Reocin,1,1.17,1.67,26.20,1.22,0.31,1.80,45.00,0.53
Rc8,Reocin,1,1.17,1.83,26.20,1.34,0.30,1.80,45.00,0.56
Rc9,Reocin,1,1.17,1.83,26.20,1.29,0.32,1.80,45.00,0.74
Rc10,Reocin,1,1.17,1.83,26.20,1.23,0.35,1.80,45.00,0.44
Mg1,Murgul,1,1.00,2.67,27.27,0.89,0.75,0.83,50.00,0.23
Mg2,Murgul,1,1.00,2.67,27.27,0.89,0.75,0.78,50.00,0.25
Mg3,Murgul,1,1.00,2.40,30.30,0.80,0.61,1.02,50.00,0.27
Mg4,Murgul,1,1.00,2.40,30.30,0.80,0.61,0.75,50.00,0.30
Mg5,Murgul,1,1.10,2.40,30.30,0.80,0.55,1.18,50.00,0.38
